description,index,sourcetype,usegroup
,,,
tbd,corelight,"corelight_conn",tbd
tbd,corelight,"corelight_corelight_overall_capture_loss",tbd
tbd,corelight,"corelight_dhcp",tbd
tbd,corelight,"corelight_dns",tbd
tbd,corelight,"corelight_dpd",tbd
tbd,corelight,"corelight_files",tbd
tbd,corelight,"corelight_http",tbd
tbd,corelight,"corelight_ntp",tbd
tbd,corelight,"corelight_ssl",tbd
tbd,corelight,"corelight_suricata_stats",tbd
tbd,corelight,"corelight_weird",tbd
tbd,corelight,"corelight_x509",tbd
tbd,"cs_sys_mon",csv,tbd
